urut      idcoa                    nmcoa                                                  induk                    level     groupcoa                                               
1         1                        ASET                                                   NULL                     1         AKTIVA                                                 
2         11                       ASET LANCAR                                            1                        2         AKTIVA                                                 
3         111                      KAS DAN BANK                                           11                       3         AKTIVA                                                 
4         1111                     KAS                                                    111                      4         AKTIVA                                                 
5         111101                   KAS BESAR                                              1111                     5         AKTIVA                                                 
6         111102                   KAS KECIL                                              1111                     5         AKTIVA                                                 
7         111103                   KAS LAIN-LAIN                                          1111                     5         AKTIVA                                                 
8         111104                   KAS USD                                                1111                     5         AKTIVA                                                 
9         111105                   KAS KECIL II                                           1111                     5         AKTIVA                                                 
10        111106                   KAS YEN                                                1111                     5         AKTIVA                                                 
11        1112                     BANK                                                   111                      4         AKTIVA                                                 
12        111201                   BANK MANDIRI RP A/C 141.00.1437.3757                   1112                     5         AKTIVA                                                 
13        111202                   KAS / BANK IN TRANSIT                                  1112                     5         AKTIVA                                                 
14        111203                   BANK MANDIRI US $                                      1112                     5         AKTIVA                                                 
15        111204                   BANK BTMU - IDR                                        1112                     5         AKTIVA                                                 
16        111205                   BANK BTMU - USD                                        1112                     5         AKTIVA                                                 
17        111206                   BANK BTMU - JPY                                        1112                     5         AKTIVA                                                 
18        111207                   BANK MANDIRI RP A/C 141.00.14375757                    1112                     5         AKTIVA                                                 
19        1113                     DEPOSITO                                               111                      4         AKTIVA                                                 
20        111311                   DEPOSITO BANK MANDIRI IDR                              1113                     5         AKTIVA                                                 
21        112                      PIUTANG SKBDN/LC                                       11                       3         AKTIVA                                                 
22        112001                   PIUTANG SKBDN/LC                                       112                      4         AKTIVA                                                 
23        113                      PIUTANG DAGANG                                         11                       3         AKTIVA                                                 
24        1131                     PIUTANG DAGANG DALAM NEGERI                            113                      4         AKTIVA                                                 
25        113101                   PIUTANG DAGANG DN - RUPIAH                             1131                     5         AKTIVA                                                 
26        113102                   PIUTANG DAGANG DN - USD                                1131                     5         AKTIVA                                                 
27        1132                     PIUTANG DAGANG LUAR NEGERI                             113                      4         AKTIVA                                                 
28        113201                   PIUTANG DAGANG LN                                      1132                     5         AKTIVA                                                 
29        1133                     PIUTANG TAK TERTAGIH                                   113                      4         AKTIVA                                                 
30        113301                   AKUM.PENYISIHAN PIUTANG TAK TERTAGIH                   1133                     5         AKTIVA                                                 
31        114                      PIUTANG LAIN-LAIN                                      11                       3         AKTIVA                                                 
32        114001                   PIUTANG ASTEK                                          114                      4         AKTIVA                                                 
33        114002                   PIUTANG KARYAWAN                                       114                      4         AKTIVA                                                 
34        114003                   PIUTANG PIHAK KETIGA                                   114                      4         AKTIVA                                                 
35        114004                   JAMINAN CONTAINER                                      114                      4         AKTIVA                                                 
36        114005                   PIUTANG LAIN-LAIN                                      114                      4         AKTIVA                                                 
37        114006                   PIUTANG KOPERASI                                       114                      4         AKTIVA                                                 
38        115                      PERSEDIAAN BARANG                                      11                       3         AKTIVA                                                 
39        1151                     BARANG JADI                                            115                      4         AKTIVA                                                 
40        115101                   BARANG JADI                                            1151                     5         AKTIVA                                                 
41        115102                   BARANG JADI ROLLING MILL                               1151                     5         AKTIVA                                                 
42        115103                   BARANG JADI JTS 2_FLATBAR                              1151                     5         AKTIVA                                                 
43        115104                   BARANG JADI JTS 2_ROUNDBAR                             1151                     5         AKTIVA                                                 
44        115105                   BARANG JADI JTS 2_FLATBAR - TRIAL                      1151                     5         AKTIVA                                                 
45        115106                   BARANG JADI JTS 2_ROUNDBAR - TRIAL                     1151                     5         AKTIVA                                                 
46        115107                   BARANG JADI FOUNDRY                                    1151                     5         AKTIVA                                                 
47        115108                   BARANG JADI FINAL FOUNDRY                              1151                     5         AKTIVA                                                 
48        115109                   BARANG JADI TRIAL FOUNDRY                              1151                     5         AKTIVA                                                 
49        115110                   BARANG JADI FESI                                       1151                     5         AKTIVA                                                 
50        115111                   BARANG JADI BILLET                                     1151                     5         AKTIVA                                                 
51        115112                   BARANG JADI FINAL BILLET                               1151                     5         AKTIVA                                                 
52        115113                   BARANG JADI TRIAL BILLET                               1151                     5         AKTIVA                                                 
53        1152                     BARANG DALAM PROSES                                    115                      4         AKTIVA                                                 
54        115201                   BARANG DALAM PROSES                                    1152                     5         AKTIVA                                                 
55        115202                   WIP                                                    1152                     5         AKTIVA                                                 
56        115203                   WIP ROLLING MILL                                       1152                     5         AKTIVA                                                 
57        115204                   WIP FOUNDRY                                            1152                     5         AKTIVA                                                 
58        115205                   WIP FINAL FOUNDRY                                      1152                     5         AKTIVA                                                 
59        115206                   WIP TRIAL FOUNDRY                                      1152                     5         AKTIVA                                                 
60        115207                   WIP FESI                                               1152                     5         AKTIVA                                                 
61        115208                   WIP BILLET                                             1152                     5         AKTIVA                                                 
62        115209                   WIP FINAL BILLET                                       1152                     5         AKTIVA                                                 
63        115210                   WIP TRIAL BILLET                                       1152                     5         AKTIVA                                                 
64        115211                   WIP BILLET KATAGIME                                    1152                     5         AKTIVA                                                 
65        115212                   WIP ROLLING MILL - TRIAL                               1152                     5         AKTIVA                                                 
66        1153                     BAHAN BAKU                                             115                      4         AKTIVA                                                 
67        115301                   BAHAN BAKU                                             1153                     5         AKTIVA                                                 
68        115302                   BAHAN BAKU 2  TEMPORARY                                1153                     5         AKTIVA                                                 
69        115303                   BAHAN BAKU - ROLLING MILL                              1153                     5         AKTIVA                                                 
70        1154                     BAHAN PENUNJANG                                        115                      4         AKTIVA                                                 
71        115401                   BAHAN PENUNJANG                                        1154                     5         AKTIVA                                                 
72        1155                     GOODS IN TRANSIT                                       115                      4         AKTIVA                                                 
73        115501                   GOODS IN TRANSIT                                       1155                     5         AKTIVA                                                 
74        1156                     CADANGAN PENYISIHAN PERSEDIAAN                         115                      4         AKTIVA                                                 
75        115601                   CADANGAN PENYISIHAN PERSEDIAAN                         1156                     5         AKTIVA                                                 
76        1157                     MATERIAL IN TRANSIT                                    115                      4         AKTIVA                                                 
77        115701                   MATERIAL IN TRANSIT                                    1157                     5         AKTIVA                                                 
78        116                      PAJAK DIBAYAR DIMUKA                                   11                       3         AKTIVA                                                 
79        1161                     PAJAK DIBAYAR DIMUKA                                   116                      4         AKTIVA                                                 
80        116101                   PIUTANG PAJAK PENGHASILAN                              1161                     5         AKTIVA                                                 
81        116102                   PIUTANG PAJAK PERTAMBAHAN NILAI                        1161                     5         AKTIVA                                                 
82        116103                   PAJAK DIBAYAR DIMUKA PPH 22                            1161                     5         AKTIVA                                                 
83        116104                   PAJAK DIBAYAR DIMUKA PPH 23                            1161                     5         AKTIVA                                                 
84        116105                   PAJAK DIBAYAR DIMUKA PPH 25                            1161                     5         AKTIVA                                                 
85        116106                   PPN MASUKAN YANG BELUM DILAPORKAN                      1161                     5         AKTIVA                                                 
86        116107                   PPN MASUKAN                                            1161                     5         AKTIVA                                                 
87        116108                   PAJAK DIBAYAR DIMUKA PPH 21                            1161                     5         AKTIVA                                                 
88        117                      UANG MUKA                                              11                       3         AKTIVA                                                 
89        1171                     U M PEMBELIAN DN                                       117                      4         AKTIVA                                                 
90        117101                   UM PEMBELIAN DALAM RP.                                 1171                     5         AKTIVA                                                 
91        117102                   UM PEMBELIAN DALAM USD                                 1171                     5         AKTIVA                                                 
92        117103                   UM PEMBELIAN IN TRANSIT                                1171                     5         AKTIVA                                                 
93        117104                   UM PEMBELIAN DALAM USD - GOODS IN TRANSIT              1171                     5         AKTIVA                                                 
94        1172                     U M PEMBELIAN IMPORT                                   117                      4         AKTIVA                                                 
95        117201                   U M IMPORT SCRAP                                       1172                     5         AKTIVA                                                 
96        117202                   U M IMPORT BHN PENOLONG                                1172                     5         AKTIVA                                                 
97        117203                   U M IMPORT SPAREPARTS                                  1172                     5         AKTIVA                                                 
98        117204                   U M IMPORT MESIN & FA LAINNYA                          1172                     5         AKTIVA                                                 
99        117205                   U M IMPORT BEA MASUK                                   1172                     5         AKTIVA                                                 
100       117206                   U M EMKL & DEPOSIT REPAIR CONTAINER                    1172                     5         AKTIVA                                                 
101       117207                   UANG MUKA DEPOSIT LC                                   1172                     5         AKTIVA                                                 
102       117208                   UANG MUKA PERJALANAN DINAS                             1172                     5         AKTIVA                                                 
103       1173                     UANG MUKA LAIN-LAIN                                    117                      4         AKTIVA                                                 
104       117301                   U M PEMBELIAN TANAH                                    1173                     5         AKTIVA                                                 
105       117302                   U M BELUM REALISASI                                    1173                     5         AKTIVA                                                 
